loops	prediction	trackerror	treesize	prunetreesize
58.0	0.2	0.12114454766329474	6684.0	8.0
59.0	0.1	0.06211829709766842	6918.0	7.0
60.0	0.30000000000000004	0.15527427937733543	6970.0	6.0
61.0	0.30000000000000004	0.07468795008974145	7416.0	6.0
62.0	0.2	0.1494523769651981	8169.0	9.0
63.0	0.2	0.2267193401081701	8971.0	8.0
64.0	0.4	0.1708202671503111	6046.0	7.0
65.0	0.0	0.06497209244693829	7189.0	9.0
66.0	0.0	0.08819197334283936	7594.0	8.0
67.0	0.7000000000000001	0.06917421642921927	5965.0	7.0
68.0	0.0	0.16004356559250096	6551.0	9.0
69.0	0.2	0.1062323080992227	8276.0	7.0
70.0	0.6000000000000001	0.09711224960454448	7520.0	6.0
71.0	0.2	0.12628754756292132	7958.0	6.0
72.0	0.2	0.05888469959384653	6608.0	4.0
73.0	0.8	0.10856886492965902	7267.0	5.0
74.0	0.2	0.10512066366324488	7504.0	6.0
75.0	0.2	0.08039836940372053	7295.0	6.0
76.0	0.30000000000000004	0.15489320101719684	7710.0	6.0
77.0	0.30000000000000004	0.07344668072748245	7953.0	8.0
78.0	0.2	0.09806108285071177	8599.0	9.0
79.0	0.30000000000000004	0.0741530877345801	8691.0	8.0
80.0	0.2	0.10855650579557675	9295.0	7.0
81.0	0.0	0.04293306951415204	10283.0	5.0
82.0	0.6000000000000001	0.04821446716093531	9918.0	4.0
83.0	2.5	0.02299379732113453	9288.0	8.0
84.0	0.2	0.12227654146065366	10272.0	9.0
85.0	0.0	0.047556963181922686	10901.0	7.0
86.0	0.7000000000000001	0.1471036779295336	11214.0	6.0
87.0	0.0	0.06108469447701652	11711.0	7.0
88.0	0.30000000000000004	0.15233947243226	650.0	6.0
89.0	0.4	0.07003148427197568	910.0	7.0
90.0	0.2	0.0681663533170466	1641.0	5.0
91.0	0.4	0.0789077659673387	701.0	4.0
92.0	0.6000000000000001	0.08551819676447907	508.0	7.0
93.0	0.1	0.09372902705018776	941.0	7.0
94.0	0.2	0.12093297049255144	1481.0	6.0
95.0	0.1	0.04739842299759	2397.0	4.0
96.0	0.1	0.10533119709723182	2843.0	3.0
97.0	1.4000000000000001	0.05358272282648543	836.0	2843.0
98.0	0.0	0.032125916864598994	491.0	835.0
99.0	0.4	0.024004314408526614	284.0	5.0
100.0	0.4	0.14555433055606873	1009.0	6.0
101.0	0.2	0.06809910597115973	1500.0	4.0
102.0	0.0	0.1247068077327881	2197.0	5.0
103.0	0.30000000000000004	0.12791056255460054	1177.0	5.0
104.0	0.5	0.1370369505993757	1783.0	7.0
105.0	0.2	0.05947363386769752	3125.0	8.0
106.0	0.1	0.05103008421947761	4568.0	6.0
107.0	0.7000000000000001	0.13665073947755857	5535.0	5.0
108.0	0.2	0.1457703281846456	6835.0	2.0
109.0	0.0	0.0451033396274676	1142.0	6835.0
110.0	0.0	0.008011144786905698	736.0	1140.0
111.0	0.4	0.05895378780110791	442.0	9.0
112.0	0.1	0.12205605649980118	1002.0	11.0
113.0	0.1	0.22275310099694043	1623.0	10.0
114.0	0.2	0.11245748712646897	143.0	9.0
115.0	0.1	0.064788543597018	568.0	9.0
116.0	0.1	0.07801091435813401	361.0	8.0
117.0	0.1	0.14583781294010945	1067.0	9.0
118.0	0.30000000000000004	0.11201237282802698	122.0	8.0
119.0	0.4	0.10672210428850354	707.0	9.0
120.0	0.1	0.05315337674499172	2707.0	7.0
121.0	0.2	0.07534270424946078	3510.0	6.0
122.0	0.1	0.05519766955335227	4160.0	4.0
123.0	0.2	0.1379692624642126	5663.0	3.0
124.0	0.0	0.0767386888080264	790.0	5663.0
125.0	0.0	0.052610716444079025	1107.0	781.0
